"Date","Price","Open","High","Low","Vol.","Change %"
"28/03/2023","5,408.30","5,454.19","5,460.64","5,391.08","109.92M","0.09%"
"27/03/2023","5,403.54","5,426.22","5,435.11","5,374.07","129.79M","0.88%"
"24/03/2023","5,356.58","5,431.61","5,431.61","5,311.65","195.20M","-1.82%"
"23/03/2023","5,455.62","5,441.12","5,463.38","5,407.31","113.84M","0.05%"
"22/03/2023","5,452.89","5,437.52","5,473.14","5,417.30","103.33M","0.19%"
"21/03/2023","5,442.63","5,419.61","5,469.83","5,416.86","144.32M","1.47%"
"20/03/2023","5,363.61","5,281.89","5,391.29","5,197.18","187.50M","1.19%"
"17/03/2023","5,300.49","5,421.01","5,436.40","5,277.80","323.53M","-1.40%"
"16/03/2023","5,375.60","5,350.84","5,402.14","5,261.93","216.34M","1.95%"
"15/03/2023","5,272.69","5,454.16","5,455.48","5,254.85","273.68M","-3.58%"
"14/03/2023","5,468.48","5,383.22","5,484.07","5,354.08","154.40M","1.83%"
"13/03/2023","5,369.99","5,522.85","5,522.85","5,343.02","222.36M","-2.91%"
"10/03/2023","5,530.90","5,512.25","5,557.07","5,491.60","154.34M","-1.31%"
"09/03/2023","5,604.58","5,603.46","5,617.35","5,573.19","106.28M","-0.15%"
"08/03/2023","5,613.15","5,596.88","5,628.08","5,596.88","98.71M","-0.16%"
"07/03/2023","5,622.31","5,636.44","5,668.15","5,619.83","109.66M","-0.49%"
"06/03/2023","5,649.72","5,659.17","5,669.02","5,631.62","116.71M","0.34%"
"03/03/2023","5,630.77","5,611.37","5,638.72","5,599.43","140.90M","0.90%"
"02/03/2023","5,580.63","5,500.81","5,581.83","5,496.64","113.66M","0.67%"
"01/03/2023","5,543.72","5,576.14","5,611.51","5,532.74","126.81M","-0.42%"
"28/02/2023","5,567.12","5,555.66","5,604.71","5,553.32","155.53M","-0.37%"
"27/02/2023","5,587.61","5,548.15","5,607.89","5,548.15","105.09M","1.46%"
"24/02/2023","5,507.26","5,630.61","5,635.55","5,507.26","139.38M","-1.63%"
"23/02/2023","5,598.33","5,596.13","5,628.21","5,586.38","134.74M","0.27%"
"22/02/2023","5,583.05","5,574.63","5,590.40","5,535.37","131.97M","-0.23%"
"21/02/2023","5,595.69","5,603.66","5,620.47","5,544.62","111.57M","-0.36%"
"20/02/2023","5,615.87","5,634.28","5,636.42","5,603.56","98.98M","-0.13%"
"17/02/2023","5,623.28","5,595.35","5,638.19","5,564.03","173.94M","-0.25%"
"16/02/2023","5,637.12","5,625.21","5,654.03","5,606.75","154.77M","0.85%"
"15/02/2023","5,589.75","5,521.88","5,601.67","5,516.79","123.90M","1.11%"
"14/02/2023","5,528.30","5,535.09","5,571.58","5,520.15","116.17M","0.11%"
"13/02/2023","5,522.16","5,473.81","5,526.72","5,473.81","98.54M","1.05%"
"10/02/2023","5,464.55","5,495.33","5,507.28","5,423.68","142.61M","-0.88%"
"09/02/2023","5,512.92","5,507.42","5,542.47","5,507.42","132.35M","0.90%"
"08/02/2023","5,463.51","5,508.73","5,517.48","5,463.51","141.72M","-0.12%"
"07/02/2023","5,470.15","5,481.39","5,488.12","5,454.40","112.64M","-0.11%"
"06/02/2023","5,476.21","5,509.82","5,512.78","5,451.91","114.59M","-1.30%"
"03/02/2023","5,548.35","5,477.08","5,548.35","5,459.93","144.55M","0.90%"
"02/02/2023","5,499.03","5,453.05","5,513.00","5,432.66","163.48M","1.33%"
"01/02/2023","5,426.70","5,434.19","5,449.74","5,413.80","110.85M","0.02%"
"31/01/2023","5,425.83","5,425.20","5,429.86","5,383.57","122.58M","-0.02%"
"30/01/2023","5,426.75","5,415.34","5,443.21","5,390.30","108.64M","-0.25%"
"27/01/2023","5,440.09","5,435.61","5,453.22","5,414.46","114.24M","0.05%"
"26/01/2023","5,437.34","5,434.93","5,452.34","5,422.48","114.61M","0.73%"
"25/01/2023","5,397.81","5,411.43","5,420.59","5,366.23","119.81M","-0.14%"
"24/01/2023","5,405.58","5,408.41","5,418.21","5,377.72","96.06M","0.23%"
"23/01/2023","5,393.30","5,380.30","5,402.44","5,361.34","96.69M","0.54%"
"20/01/2023","5,364.40","5,364.43","5,378.29","5,341.26","116.24M","0.61%"
"19/01/2023","5,331.79","5,401.99","5,409.85","5,328.21","139.88M","-1.81%"
"18/01/2023","5,430.29","5,422.52","5,455.26","5,421.31","127.16M","0.12%"
"17/01/2023","5,424.00","5,393.77","5,443.17","5,381.36","128.01M","0.48%"
"16/01/2023","5,397.90","5,397.96","5,404.70","5,377.53","122.52M","0.31%"
"13/01/2023","5,381.20","5,356.47","5,390.15","5,348.81","151.95M","0.68%"
"12/01/2023","5,344.62","5,327.33","5,373.05","5,324.49","145.37M","0.76%"
"11/01/2023","5,304.11","5,269.26","5,320.78","5,265.21","125.30M","0.81%"
"10/01/2023","5,261.53","5,271.08","5,273.87","5,245.54","120.23M","-0.58%"
"09/01/2023","5,292.37","5,257.37","5,308.08","5,251.19","129.35M","0.72%"
"06/01/2023","5,254.64","5,191.02","5,254.64","5,177.88","116.41M","1.40%"
"05/01/2023","5,182.26","5,170.76","5,205.34","5,163.42","132.84M","-0.22%"
"04/01/2023","5,193.78","5,111.41","5,197.30","5,111.41","149.24M","2.14%"
"03/01/2023","5,085.11","5,053.02","5,138.28","5,053.02","122.79M","0.42%"
"02/01/2023","5,063.88","5,009.97","5,068.73","5,008.19","90.99M","1.82%"
"30/12/2022","4,973.29","5,019.25","5,024.04","4,971.37","73.49M","-1.50%"
"29/12/2022","5,048.98","4,982.63","5,051.00","4,972.74","83.76M","0.98%"
"28/12/2022","5,000.03","5,036.31","5,044.93","4,996.25","74.88M","-0.57%"
"27/12/2022","5,028.78","5,037.70","5,052.12","5,023.78","66.60M","0.63%"
"23/12/2022","4,997.20","4,999.68","5,018.15","4,975.38","76.60M","-0.14%"
"22/12/2022","5,004.08","5,055.97","5,075.92","4,993.69","96.77M","-0.92%"
"21/12/2022","5,050.53","4,966.69","5,054.92","4,966.21","113.41M","2.00%"
"20/12/2022","4,951.69","4,929.01","4,966.11","4,905.45","116.14M","-0.39%"
"19/12/2022","4,970.84","4,968.33","4,998.69","4,968.33","108.90M","0.31%"
"16/12/2022","4,955.36","4,997.61","5,004.87","4,929.43","308.02M","-1.10%"
"15/12/2022","5,010.37","5,120.42","5,124.29","4,996.44","151.36M","-2.95%"
"14/12/2022","5,162.59","5,157.39","5,163.36","5,133.36","122.61M","-0.16%"
"13/12/2022","5,170.91","5,119.49","5,230.20","5,094.36","149.37M","1.41%"
"12/12/2022","5,099.24","5,099.28","5,121.81","5,087.82","102.33M","-0.45%"
"09/12/2022","5,122.49","5,116.02","5,123.45","5,076.42","133.24M","0.48%"
"08/12/2022","5,098.00","5,118.43","5,119.60","5,083.64","116.29M","-0.16%"
"07/12/2022","5,106.23","5,129.33","5,133.38","5,094.92","126.27M","-0.44%"
"06/12/2022","5,128.57","5,133.88","5,141.57","5,106.11","128.03M","-0.21%"
"05/12/2022","5,139.14","5,162.90","5,171.22","5,130.06","108.62M","-0.65%"
