Date,SPY,BND,GLD,QQQ,VTI
2011-09-08,93.59284210205078,58.905330657958984,181.80999755859375,48.26957702636719,48.206573486328125
2011-09-09,91.13981628417969,58.95451736450195,180.6999969482422,47.19575119018555,46.950843811035156
2011-09-12,91.72949981689453,58.77880096435547,176.6699981689453,47.799217224121094,47.28255081176758
2011-09-13,92.57073211669922,58.71553039550781,178.5399932861328,48.438194274902344,47.756404876708984
2011-09-14,93.85228729248047,58.84207534790039,177.2100067138672,49.13042449951172,48.43559265136719
2011-09-15,95.47193908691406,58.72956848144531,174.39999389648438,49.8581657409668,49.28063201904297
2011-09-16,96.03699493408203,58.70848846435547,176.02999877929688,50.315162658691406,49.517547607421875
2011-09-19,95.08074188232422,58.89125442504883,173.30999755859375,50.33293533325195,48.99631881713867
2011-09-20,94.9701156616211,58.968563079833984,175.77999877929688,50.110660552978516,48.82258224487305
2011-09-21,92.17242431640625,59.13017654418945,173.58999633789062,49.239322662353516,47.235164642333984
2011-09-22,89.1929931640625,59.270751953125,169.0500030517578,47.638916015625,45.78202438354492
2011-09-23,89.73038482666016,59.073997497558594,159.8000030517578,48.145713806152344,46.04878616333008
2011-09-26,91.86421203613281,58.89125442504883,157.5800018310547,48.70586013793945,47.1364860534668
2011-09-27,92.89161682128906,58.771766662597656,160.6300048828125,49.21263885498047,47.73194122314453
2011-09-28,90.99488067626953,58.645263671875,156.22000122070312,48.483577728271484,46.644229888916016
2011-09-29,91.71407318115234,58.638206481933594,157.6999969482422,47.90565490722656,46.985652923583984
2011-09-30,89.42220306396484,58.856101989746094,158.05999755859375,46.6697883605957,45.826480865478516
2011-10-03,86.87742614746094,59.19013214111328,160.9600067138672,45.4694709777832,44.310035705566406
2011-10-04,88.78205871582031,58.957576751708984,157.63999938964844,46.403045654296875,45.421573638916016
2011-10-05,90.42588806152344,58.703922271728516,159.4600067138672,47.594451904296875,46.35048294067383
2011-10-06,92.0617904663086,58.66866683959961,160.49000549316406,48.39466094970703,47.247642517089844
2011-10-07,91.44538116455078,58.54181671142578,159.17999267578125,48.074588775634766,46.81891632080078
2011-10-10,94.50383758544922,58.4572868347168,163.27000427246094,49.73723220825195,48.43061828613281
2011-10-11,94.59861755371094,58.42905044555664,162.10000610351562,50.075103759765625,48.470314025878906
2011-10-12,95.428466796875,58.41501235961914,163.25999450683594,50.32405090332031,48.930809020996094
2011-10-13,95.23878479003906,58.48546600341797,162.3000030517578,50.786373138427734,48.86729431152344
2011-10-14,96.86679077148438,58.3797607421875,163.39999389648438,51.72885513305664,49.75650405883789
2011-10-17,95.01749420166016,58.58411407470703,162.6199951171875,50.928646087646484,48.748191833496094
2011-10-18,96.87472534179688,58.520694732666016,161.83999633789062,51.55991744995117,49.73268127441406
2011-10-19,95.72876739501953,58.67568588256836,159.8699951171875,50.564117431640625,49.073707580566406
2011-10-20,96.14763641357422,58.6475715637207,157.77000427246094,50.315162658691406,49.29602813720703
2011-10-21,97.97321319580078,58.555946350097656,159.52000427246094,50.946434020996094,50.22492980957031
2011-10-24,99.1744613647461,58.598201751708984,161.02000427246094,52.00448226928711,51.0665168762207
2011-10-25,97.24615478515625,58.90120315551758,165.58999633789062,50.98199462890625,50.02643966674805
2011-10-26,98.23403930664062,58.75322341918945,167.39999389648438,50.91977310180664,50.56631851196289
2011-10-27,101.656005859375,58.450199127197266,169.5500030517578,52.32456588745117,52.313018798828125
2011-10-28,101.63231658935547,58.66160202026367,169.6199951171875,52.40458297729492,52.360633850097656
2011-10-31,99.18238830566406,58.922340393066406,167.33999633789062,51.52436828613281,51.03475570678711
2011-11-01,96.4163589477539,59.36032485961914,167.3800048828125,50.18179702758789,49.67711639404297
2011-11-02,97.989013671875,59.324989318847656,169.05999755859375,50.60858154296875,50.494869232177734
2011-11-03,99.77510070800781,59.17667770385742,171.72000122070312,51.65772247314453,51.47936248779297
2011-11-04,99.16658782958984,59.26140213012695,170.85000610351562,51.39099884033203,51.201480865478516
2011-11-07,99.78298950195312,59.27558135986328,174.97999572753906,51.75553512573242,51.46349334716797
2011-11-08,101.06331634521484,59.09186553955078,173.52999877929688,52.35123062133789,52.082763671875
2011-11-09,97.33309173583984,59.16250228881836,172.07000732421875,50.510780334472656,50.09789276123047
2011-11-10,98.24983215332031,59.09186553955078,171.13999938964844,50.48408889770508,50.54251480102539
2011-11-11,100.09915161132812,59.04949951171875,173.9600067138672,51.435447692871094,51.54288101196289
2011-11-14,99.15076446533203,59.056575775146484,173.1999969482422,51.1153678894043,51.03475570678711
2011-11-15,99.6407470703125,59.02127456665039,173.36000061035156,51.68440246582031,51.344390869140625
2011-11-16,98.0601577758789,59.13427734375,171.50999450683594,50.830833435058594,50.4869384765625
2011-11-17,96.50328826904297,59.10599136352539,167.10000610351562,49.63943862915039,49.66121292114258
2011-11-18,96.40055084228516,59.0706901550293,167.6199951171875,49.25711441040039,49.589778900146484
2011-11-21,94.5670394897461,59.056575775146484,163.5,48.31464767456055,48.66879653930664
2011-11-22,94.19559478759766,59.12012481689453,165.30999755859375,48.474693298339844,48.43855667114258
2011-11-23,92.11709594726562,59.1837158203125,164.8300018310547,47.381065368652344,47.35879135131836
2011-11-25,91.94325256347656,59.09894943237305,163.39999389648438,47.016536712646484,47.20794677734375
2011-11-28,94.60657501220703,59.09894943237305,166.6300048828125,48.652496337890625,48.62911605834961
2011-11-29,94.87525177001953,59.014198303222656,166.8800048828125,48.350223541259766,48.77995300292969
2011-11-30,98.77933502197266,58.88703155517578,170.1300048828125,50.137332916259766,50.844200134277344
2011-12-01,98.76351165771484,58.867897033691406,169.6300048828125,50.48408889770508,50.844200134277344
2011-12-02,98.6766128540039,59.05908966064453,169.82000732421875,50.34185028076172,50.82039260864258
2011-12-05,99.7513656616211,59.066158294677734,167.32000732421875,50.893089294433594,51.37615203857422
2011-12-06,99.78298950195312,58.98828125,168.17999267578125,50.75082778930664,51.39996337890625
2011-12-07,100.15446472167969,59.066158294677734,169.39999389648438,50.75082778930664,51.53494644165039
2011-12-08,97.95742797851562,59.20076370239258,165.97999572753906,49.89728927612305,50.36783981323242
2011-12-09,99.61707305908203,59.05908966064453,166.39999389648438,50.697479248046875,51.26499557495117
2011-12-12,98.16289520263672,59.122806549072266,161.99000549316406,50.12844467163086,50.4789924621582
2011-12-13,97.24615478515625,59.27155303955078,158.4499969482422,49.57719421386719,49.93911361694336
2011-12-14,96.21086883544922,59.384830474853516,152.88999938964844,48.803653717041016,49.36747360229492
2011-12-15,96.55859375,59.356502532958984,152.3300018310547,48.670291900634766,49.550079345703125
2011-12-16,96.70175170898438,59.51939392089844,155.22999572753906,48.92087173461914,49.71681213378906
2011-12-19,95.66783905029297,59.4981575012207,154.8699951171875,48.439327239990234,49.13722610473633
2011-12-20,98.56278991699219,59.377784729003906,156.97999572753906,49.875030517578125,50.67748260498047
2011-12-21,98.75364685058594,59.214866638183594,157.16000366210938,49.16164016723633,50.77409362792969
