"Date","Price","Open","High","Low","Vol.","Change %"
"29/06/2020","5,562.8350","5,608.8950","5,684.6709","5,547.9771","9.12K","-0.93%"
"26/06/2020","5,614.8384","5,632.6680","5,745.5884","5,614.8384","8.12K","1.07%"
"25/06/2020","5,555.4063","5,423.1699","5,598.4946","5,301.3345","8.77K","1.85%"
"24/06/2020","5,454.3716","5,683.1851","5,720.3301","5,454.3716","7.18K","-2.50%"
"23/06/2020","5,594.0371","5,601.4658","5,674.2700","5,556.8921","6.67K","1.05%"
"22/06/2020","5,536.0908","5,504.8892","5,601.4658","5,458.8291","5.89K","-0.64%"
"19/06/2020","5,571.7500","5,527.1758","5,657.9263","5,451.4004","14.36K","0.97%"
"18/06/2020","5,518.2612","5,536.0908","5,605.9233","5,457.3433","5.30K","-0.24%"
"17/06/2020","5,531.6333","5,406.8262","5,595.5229","5,387.5107","6.50K","2.51%"
"16/06/2020","5,396.4258","5,470.7158","5,577.6934","5,317.6782","10.38K","0.11%"
"15/06/2020","5,390.4824","5,056.1772","5,406.8262","5,042.8052","9.29K","4.37%"
"12/06/2020","5,164.6406","5,087.3794","5,301.3345","5,017.5464","5.98K","0.75%"
"11/06/2020","5,126.0098","5,201.7856","5,210.7007","5,123.0386","6.90K","-3.60%"
"10/06/2020","5,317.6782","5,296.8770","5,377.1104","5,247.8457","5.25K","0.36%"
"09/06/2020","5,298.3628","5,440.9995","5,470.7158","5,232.9878","7.02K","-1.82%"
"08/06/2020","5,396.4258","5,235.9590","5,418.7124","5,201.7856","6.90K","2.51%"
"05/06/2020","5,264.1895","5,234.4736","5,326.5928","5,204.7573","7.15K","1.40%"
"04/06/2020","5,191.3853","5,100.7515","5,221.1011","5,026.4614","6.34K","1.39%"
"03/06/2020","5,120.0669","5,060.6348","5,120.0669","5,029.4331","4.75K","2.59%"
"02/06/2020","4,990.8022","5,069.5498","5,081.4360","4,974.4585","4.80K","0.24%"
"01/06/2020","4,978.9160","5,096.2939","5,143.8398","4,972.9727","4.26K","-1.18%"
"29/05/2020","5,038.3477","4,958.1147","5,090.3506","4,946.2280","8.02K","0.80%"
"28/05/2020","4,998.2310","4,952.1714","5,059.1489","4,920.9697","4.94K","1.66%"
"27/05/2020","4,916.5122","4,984.8589","5,069.5498","4,848.1655","5.85K","-1.22%"
"26/05/2020","4,977.4302","5,051.7202","5,111.1519","4,965.5435","7.18K","-0.56%"
"25/05/2020","5,005.6602","4,888.2822","5,005.6602","4,852.6226","3.93K","3.85%"
"22/05/2020","4,819.9351","4,646.0967","4,912.0547","4,629.7529","7.00K","2.46%"
"21/05/2020","4,704.0430","4,724.8442","4,825.8784","4,674.3267","4.05K","-1.19%"
"20/05/2020","4,760.5034","4,704.0430","4,766.4463","4,533.1758","6.69K","1.30%"
"19/05/2020","4,699.5854","4,885.3105","4,885.3105","4,662.4404","7.23K","-2.89%"
"18/05/2020","4,839.2505","4,770.9038","4,839.2505","4,708.5000","3.50K","3.66%"
"15/05/2020","4,668.3838","4,577.7500","4,797.6484","4,577.7500","3.25K","1.95%"
"14/05/2020","4,579.2358","4,589.6362","4,605.9800","4,503.4600","3.37K","-2.22%"
"13/05/2020","4,683.2417","4,791.7051","4,791.7051","4,617.8662","3.00K","-2.26%"
"12/05/2020","4,791.7051","4,680.2700","4,791.7051","4,646.0967","4.22K","2.35%"
"11/05/2020","4,681.7559","4,955.1431","4,993.7739","4,681.7559","3.69K","-4.72%"
"08/05/2020","4,913.5405","4,834.7930","4,958.1147","4,834.7930","2.06K","2.64%"
"07/05/2020","4,787.2476","4,754.5601","4,819.9351","4,702.5571","2.86K","0.81%"
"06/05/2020","4,748.6167","4,666.8979","4,756.0459","4,650.5542","3.76K","1.27%"
"05/05/2020","4,689.1846","4,714.4434","4,730.7871","4,646.0967","3.44K","1.71%"
"04/05/2020","4,610.4375","4,687.6992","4,714.4434","4,577.7500","4.78K","-4.61%"
"30/04/2020","4,833.3076","5,126.0098","5,163.1548","4,833.3076","5.56K","-4.27%"
"29/04/2020","5,048.7485","4,790.2192","5,133.4390","4,790.2192","7.91K","6.22%"
"28/04/2020","4,753.0742","4,769.4180","4,781.3042","4,669.8696","5.43K","0.82%"
"27/04/2020","4,714.4434","4,665.4121","4,714.4434","4,595.5796","3.23K","4.20%"
"24/04/2020","4,524.2612","4,506.4316","4,672.8408","4,446.9995","3.95K","-1.52%"
"23/04/2020","4,594.0938","4,607.4658","4,709.9858","4,493.0591","3.72K","0.00%"
"22/04/2020","4,594.0938","4,825.8784","4,836.2788","4,586.6646","5.66K","-2.09%"
"21/04/2020","4,692.1563","4,796.1626","4,882.3389","4,692.1563","5.47K","-3.34%"
"20/04/2020","4,854.1084","4,791.7051","4,854.1084","4,705.5288","3.05K","1.59%"
"17/04/2020","4,778.3330","4,598.5508","4,788.7334","4,598.5508","7.65K","6.60%"
"16/04/2020","4,482.6587","4,427.6841","4,500.4883","4,403.9111","5.84K","3.15%"
"15/04/2020","4,345.9648","4,576.2642","4,576.2642","4,331.1069","6.98K","-4.38%"
"14/04/2020","4,545.0620","4,704.0430","4,715.9292","4,545.0620","4.31K","-1.13%"
"09/04/2020","4,597.0654","4,580.7212","4,690.6704","4,506.4316","4.64K","2.38%"
"08/04/2020","4,490.0874","4,457.3999","4,548.0337","4,424.7124","5.03K","-1.24%"
"07/04/2020","4,546.5479","4,692.1563","4,744.1592","4,454.4282","5.07K","-0.55%"
"06/04/2020","4,571.8066","4,580.7212","4,604.4941","4,470.7720","5.89K","2.88%"
"03/04/2020","4,444.0278","4,466.3149","4,503.4600","4,415.7974","3.12K","0.34%"
"02/04/2020","4,429.1699","4,476.7153","4,536.1475","4,380.1382","4.62K","-1.26%"
"01/04/2020","4,485.6304","4,494.5449","4,614.8950","4,414.3120","5.14K","-2.20%"
"31/03/2020","4,586.6646","4,531.6899","4,665.4121","4,442.5420","7.08K","2.87%"
"30/03/2020","4,458.8857","4,643.1250","4,738.2163","4,455.9141","7.53K","-2.72%"
"27/03/2020","4,583.6929","4,638.6675","4,747.1309","4,470.7720","6.35K","-5.08%"
"26/03/2020","4,828.8501","4,553.9771","4,828.8501","4,442.5420","7.28K","3.73%"
"25/03/2020","4,655.0112","4,412.8262","4,721.8726","4,310.3057","11.69K","10.39%"
"24/03/2020","4,216.7002","3,935.8843","4,374.1953","3,802.1621","10.66K","14.18%"
"23/03/2020","3,692.9558","3,343.0500","3,912.1113","3,343.0500","9.15K","4.35%"
"20/03/2020","3,539.1755","3,803.6479","3,937.3701","3,454.4851","11.41K","5.51%"
"19/03/2020","3,354.1936","3,449.2847","3,591.9214","3,213.7854","10.18K","-2.29%"
"18/03/2020","3,432.9409","3,442.5986","3,714.5000","3,417.3401","7.49K","0.57%"
"17/03/2020","3,413.6255","3,678.0979","3,699.6421","3,358.6509","10.96K","-3.53%"
"16/03/2020","3,538.4326","3,528.7749","3,613.4656","3,239.0439","13.12K","-5.68%"
"13/03/2020","3,751.6450","3,903.1965","4,054.7483","3,692.9558","15.61K","-1.44%"
"12/03/2020","3,806.6196","4,085.9500","4,121.6094","3,770.9604","18.51K","-12.62%"
"11/03/2020","4,356.3657","4,448.4854","4,487.1162","4,332.5928","12.17K","-0.71%"
"10/03/2020","4,387.5674","4,387.5674","4,605.9800","4,348.9365","15.93K","0.89%"
"09/03/2020","4,348.9365","4,151.3252","4,613.4092","4,151.3252","16.68K","-7.43%"
"06/03/2020","4,698.0996","4,809.5347","4,827.3643","4,666.8979","9.71K","-3.95%"
"05/03/2020","4,891.2534","5,038.3477","5,074.0068","4,865.9951","6.10K","-1.94%"
"04/03/2020","4,987.8306","5,002.6885","5,076.9785","4,947.7139","6.71K","-0.15%"
"03/03/2020","4,995.2598","5,030.9189","5,128.9814","4,987.8306","15.99K","1.17%"
"02/03/2020","4,937.3135","5,108.1802","5,137.8965","4,843.7080","12.30K","-1.25%"
"28/02/2020","4,999.7168","4,857.0801","5,020.5181","4,828.8501","16.55K","-3.11%"
"27/02/2020","5,160.1836","5,200.2998","5,222.5869","5,078.4644","15.14K","-2.96%"
"26/02/2020","5,317.6782","5,238.9307","5,336.9937","5,140.8682","9.31K","0.48%"
"25/02/2020","5,292.4194","5,411.2837","5,433.5708","5,249.3315","10.22K","-1.82%"
"24/02/2020","5,390.4824","5,423.1699","5,423.1699","5,299.8486","14.60K","-3.46%"
"21/02/2020","5,583.6362","5,527.1758","5,692.0996","5,475.1729","8.42K","0.59%"
"20/02/2020","5,550.9487","5,796.1060","5,803.5347","5,550.9487","12.31K","-4.33%"
"19/02/2020","5,802.0488","5,995.2031","6,021.9473","5,742.6172","10.76K","-3.65%"
"18/02/2020","6,021.9473","5,949.1431","6,021.9473","5,940.2285","5.82K","0.17%"
"17/02/2020","6,011.5469","6,021.9473","6,041.2627","5,958.0581","3.18K","0.10%"
"14/02/2020","6,005.6035","6,002.6318","6,057.6064","5,986.2881","3.12K","-0.12%"
"13/02/2020","6,013.0327","5,928.3418","6,021.9473","5,907.5410","4.46K","0.70%"
"12/02/2020","5,971.4302","5,964.0010","6,016.0044","5,937.2568","4.65K","0.17%"
"11/02/2020","5,961.0298","6,038.2910","6,062.0640","5,961.0298","4.66K","-0.57%"
"10/02/2020","5,995.2031","6,016.0044","6,017.4902","5,950.6289","3.51K","-0.42%"
"07/02/2020","6,020.4614","6,029.3765","6,125.9536","6,002.6318","6.32K","0.02%"
"06/02/2020","6,018.9756","5,920.9131","6,051.6636","5,904.5693","7.63K","2.51%"
"05/02/2020","5,871.8818","5,840.6797","5,919.4272","5,775.3047","6.66K","0.15%"
"04/02/2020","5,862.9668","5,663.8696","5,882.2822","5,635.6392","9.41K","4.31%"
"03/02/2020","5,620.7813","5,586.6079","5,646.0400","5,531.6333","4.66K","0.69%"
"31/01/2020","5,582.1504","5,656.4404","5,692.0996","5,582.1504","5.16K","-1.03%"
"30/01/2020","5,640.0967","5,703.9863","5,720.3301","5,613.3525","4.60K","-2.37%"
